candidate_site_id,site_name,store_id,market_region,actual_sales_28d,forecast_sales_next_28d,growth_gap,site_score,recommendation,claim_boundary
SITE_ST004,Candidate near ST004,ST004,Quebec,478321.84,489536.1,11214.259999999951,83.33,Prioritize,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST009,Candidate near ST009,ST009,Quebec,467692.32,480484.32,12792.0,81.67,Prioritize,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST006,Candidate near ST006,ST006,West,354512.84,368945.77,14432.929999999993,80.0,Prioritize,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST002,Candidate near ST002,ST002,Prairie,322184.18,357985.63,35801.45000000001,80.0,Prioritize,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST012,Candidate near ST012,ST012,Prairie,306759.87,341077.28,34317.41000000003,66.67,Consider,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST005,Candidate near ST005,ST005,Atlantic,258805.55,286058.96,27253.410000000033,53.33,Consider,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST011,Candidate near ST011,ST011,West,389944.17,362327.45,-27616.719999999972,48.33,Consider,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST001,Candidate near ST001,ST001,West,356736.81,347983.18,-8753.630000000005,45.0,Consider,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST003,Candidate near ST003,ST003,Ontario,224419.58,221764.46,-2655.1199999999953,35.0,Defer / Monitor,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST008,Candidate near ST008,ST008,Ontario,352064.45,338648.15,-13416.299999999988,31.67,Defer / Monitor,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST007,Candidate near ST007,ST007,Prairie,222709.94,216146.24,-6563.700000000012,23.33,Defer / Monitor,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
SITE_ST010,Candidate near ST010,ST010,Atlantic,218158.59,214519.05,-3639.540000000008,21.67,Defer / Monitor,Synthetic site-prioritization score derived from demo store forecast/watchlist outputs; not a real estate optimization model or investment recommendation.
